method,round_id,domain,scenario,n_nodes,gt_label,gt_similarity,pred_similarity,pred_label,abs_error,label_correct,utility,decision
char_jaccard,FIN_00_00,finance,个人贷款审批,3,high,0.88,0.1692,low,0.7108,0,-8.08,Reject
char_jaccard,FIN_01_00,finance,企业融资尽调,3,medium,0.62,0.1319,low,0.4881,0,-11.81,Reject
char_jaccard,FIN_02_00,finance,反欺诈核查,3,low,0.15,0.1746,low,0.02460000000000001,1,-7.54,Reject
char_jaccard,FIN_03_00,finance,资产评估定价,3,high,0.88,0.3033,low,0.5767,0,5.33,Audit_Required
char_jaccard,FIN_04_00,finance,信用评级,3,medium,0.62,0.3473,low,0.2727,0,9.73,Audit_Required
char_jaccard,MED_05_00,medical,急症诊断,3,high,0.88,0.2585,low,0.6214999999999999,0,0.85,Audit_Required
char_jaccard,MED_06_00,medical,慢性病管理方案,3,medium,0.65,0.2668,low,0.38320000000000004,0,1.68,Audit_Required
char_jaccard,MED_07_00,medical,手术必要性评估,3,low,0.15,0.1395,low,0.010499999999999982,1,-11.05,Reject
char_jaccard,MED_08_00,medical,药物剂量调整,3,high,0.88,0.2379,low,0.6421,0,-1.21,Reject
char_jaccard,MED_09_00,medical,精神科评估,3,medium,0.62,0.2421,low,0.3779,0,-0.79,Reject
char_jaccard,ADM_10_00,admin,餐饮许可证审核,3,high,0.88,0.192,low,0.688,0,-5.8,Reject
char_jaccard,ADM_11_00,admin,建设项目环评,3,low,0.18,0.1525,low,0.027499999999999997,1,-9.75,Reject
char_jaccard,ADM_12_00,admin,税务稽查处理,3,medium,0.65,0.2553,low,0.3947,0,0.53,Audit_Required
char_jaccard,ADM_13_00,admin,公务员录用体检,3,high,0.88,0.2706,low,0.6093999999999999,0,2.06,Audit_Required
char_jaccard,LEG_14_00,legal,劳动争议仲裁,3,low,0.15,0.2659,low,0.11590000000000003,1,1.59,Audit_Required
char_jaccard,LEG_15_00,legal,合同效力认定,3,high,0.88,0.2264,low,0.6536,0,-2.36,Reject
char_jaccard,LEG_16_00,legal,知识产权侵权,3,low,0.15,0.2165,low,0.0665,1,-3.35,Reject
char_jaccard,LEG_17_00,legal,刑事辩护策略,3,medium,0.65,0.1711,low,0.4789,0,-7.89,Reject
char_jaccard,SUP_18_00,supply_chain,供应商资质评审,3,high,0.88,0.2153,low,0.6647000000000001,0,-3.47,Reject
char_jaccard,SUP_19_00,supply_chain,库存策略,3,medium,0.6,0.1518,low,0.4482,0,-9.82,Reject
char_jaccard,SUP_20_00,supply_chain,物流路线规划,3,low,0.15,0.1793,low,0.029299999999999993,1,-7.07,Reject
word_tfidf,FIN_00_00,finance,个人贷款审批,3,high,0.88,0.2077,low,0.6723,0,-4.23,Reject
word_tfidf,FIN_01_00,finance,企业融资尽调,3,medium,0.62,0.2408,low,0.3792,0,-0.92,Reject
word_tfidf,FIN_02_00,finance,反欺诈核查,3,low,0.15,0.3951,low,0.2451,1,14.51,Audit_Required
word_tfidf,FIN_03_00,finance,资产评估定价,3,high,0.88,0.4242,medium,0.4558,0,17.42,Audit_Required
word_tfidf,FIN_04_00,finance,信用评级,3,medium,0.62,0.3866,low,0.2334,0,13.66,Audit_Required
word_tfidf,MED_05_00,medical,急症诊断,3,high,0.88,0.3141,low,0.5659000000000001,0,6.41,Audit_Required
word_tfidf,MED_06_00,medical,慢性病管理方案,3,medium,0.65,0.4145,medium,0.23550000000000004,1,16.45,Audit_Required
word_tfidf,MED_07_00,medical,手术必要性评估,3,low,0.15,0.2555,low,0.10550000000000001,1,0.55,Audit_Required
